model,policy,case_id,repetitions,distinct_delivered_outcomes,mean_request_s,mean_success
qwen3:1.7b,SELECTIVE,ir_06_01,3,1,4.265437831333333,
qwen3:1.7b,SELECTIVE,ir_06_02,3,1,6.448170009333333,
qwen3:1.7b,SELECTIVE,ir_06_03,3,1,6.852034921666666,
qwen3:1.7b,SELECTIVE,ir_06_04,3,2,9.347344276000001,
qwen3:1.7b,SELECTIVE,ir_06_05,3,1,17.516875998,
qwen3:1.7b,SELECTIVE,ir_06_06,3,1,7.530585119666666,
qwen3:1.7b,SELECTIVE,ir_07_01,3,1,4.450797573666667,
qwen3:1.7b,SELECTIVE,ir_07_02,3,1,22.961416052666667,
qwen3:1.7b,SELECTIVE,ir_07_03,3,2,9.615922460333334,
qwen3:1.7b,SELECTIVE,ir_07_04,3,1,5.395124510333333,
qwen3:1.7b,SELECTIVE,ir_07_05,3,2,9.580107066,
qwen3:1.7b,SELECTIVE,ir_07_06,3,1,8.213960740333333,
qwen3:1.7b,SELECTIVE,ir_08_01,3,2,13.483101328,
qwen3:1.7b,SELECTIVE,ir_08_02,3,3,10.137729100333333,
qwen3:1.7b,SELECTIVE,ir_08_03,3,1,6.671348278333333,
qwen3:1.7b,SELECTIVE,ir_08_04,3,2,19.892067255333334,
qwen3:1.7b,SELECTIVE,ir_08_05,3,1,5.928716198333333,
qwen3:1.7b,SELECTIVE,ir_08_06,3,1,6.852041511666667,
